date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:12:17	78817/78817	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202023%2004:12:17%20GMT	https://www.kidney.org/professionals/KDOQI/gfr_calculator	C:/Users/yongk/Pictures/BG%20Oyaji/BAKAL%20SKRIPSI/SKRIPSI%20GECE/HP%20GU/Health%20Project/www.kidney.org/professionals/KDOQI/gfr_calculator.html	(from )
11:12:18	2189/2189	---M--	200	added ('OK')	text/plain	etag:W/%22650b67e6-88d%22	https://www.kidney.org/robots.txt		(from )
11:12:18	122369/122369	---M--	200	added ('OK')	image/jpeg	etag:%225ed7a383-1de01%22	https://www.kidney.org/sites/default/files/nkf_metatag_logo_v1-01.jpg	C:/Users/yongk/Pictures/BG%20Oyaji/BAKAL%20SKRIPSI/SKRIPSI%20GECE/HP%20GU/Health%20Project/www.kidney.org/sites/default/files/nkf_metatag_logo_v1-01.jpg	(from https://www.kidney.org/professionals/KDOQI/gfr_calculator)
11:12:18	227253/227253	---M--	200	added ('OK')	image/jpeg	etag:%225ed7df4d-377b5%22	https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg	C:/Users/yongk/Pictures/BG%20Oyaji/BAKAL%20SKRIPSI/SKRIPSI%20GECE/HP%20GU/Health%20Project/www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg	(from https://www.kidney.org/professionals/KDOQI/gfr_calculator)
11:12:18	734/734	---M-Z	200	added ('OK')	text/css	etag:W/%2264e7af61-2de%22	https://www.kidney.org/sites/default/files/css/css_Vts0XjaQXkIwBk9HNAoJwrvmmE9lw6S9oxqJuhh0OB0.css	C:/Users/yongk/Pictures/BG%20Oyaji/BAKAL%20SKRIPSI/SKRIPSI%20GECE/HP%20GU/Health%20Project/www.kidney.org/sites/default/files/css/css_Vts0XjaQXkIwBk9HNAoJwrvmmE9lw6S9oxqJuhh0OB0.css	(from https://www.kidney.org/professionals/KDOQI/gfr_calculator)
11:12:19	1864/1864	---M-Z	200	added ('OK')	text/css	etag:W/%2264e7af61-748%22	https://www.kidney.org/sites/default/files/css/css_mBnH_LgYfSiEkhK8l9EFc_NnaiOboLu0UShVlpQzmvA.css	C:/Users/yongk/Pictures/BG%20Oyaji/BAKAL%20SKRIPSI/SKRIPSI%20GECE/HP%20GU/Health%20Project/www.kidney.org/sites/default/files/css/css_mBnH_LgYfSiEkhK8l9EFc_NnaiOboLu0UShVlpQzmvA.css	(from https://www.kidney.org/professionals/KDOQI/gfr_calculator)
11:12:19	10566/10566	---M-Z	200	added ('OK')	text/css	etag:W/%2264e65df0-2946%22	https://www.kidney.org/sites/default/files/css/css_nqs7gTgVn6NUzBr0i3Ze4ybUpD8Ip3tpP2DYF-z8RhY.css	C:/Users/yongk/Pictures/BG%20Oyaji/BAKAL%20SKRIPSI/SKRIPSI%20GECE/HP%20GU/Health%20Project/www.kidney.org/sites/default/files/css/css_nqs7gTgVn6NUzBr0i3Ze4ybUpD8Ip3tpP2DYF-z8RhY.css	(from https://www.kidney.org/professionals/KDOQI/gfr_calculator)
11:12:19	349589/349589	---M-Z	200	added ('OK')	text/css	etag:W/%22650b6811-55595%22	https://www.kidney.org/sites/default/files/css/css_aRrq20RbS7yyihhfAemJKLBszjJthVUVWwhjORi2iSI.css	C:/Users/yongk/Pictures/BG%20Oyaji/BAKAL%20SKRIPSI/SKRIPSI%20GECE/HP%20GU/Health%20Project/www.kidney.org/sites/default/files/css/css_aRrq20RbS7yyihhfAemJKLBszjJthVUVWwhjORi2iSI.css	(from https://www.kidney.org/professionals/KDOQI/gfr_calculator)
11:12:19	5780/5780	---M-Z	200	added ('OK')	text/css	etag:W/%2264e65de6-1694%22	https://www.kidney.org/sites/default/files/css/css_aHtL0UWGV208bBySpLn5Q4fL23KBtJXCglME6y0gthA.css	C:/Users/yongk/Pictures/BG%20Oyaji/BAKAL%20SKRIPSI/SKRIPSI%20GECE/HP%20GU/Health%20Project/www.kidney.org/sites/default/files/css/css_aHtL0UWGV208bBySpLn5Q4fL23KBtJXCglME6y0gthA.css	(from https://www.kidney.org/professionals/KDOQI/gfr_calculator)
11:12:19	375/375	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2264e65e69-177%22	https://www.kidney.org/sites/default/files/js/js_iJZnPdmRA10lVpmJTguWW1J25LRVxskzX76I1akejmo.js	C:/Users/yongk/Pictures/BG%20Oyaji/BAKAL%20SKRIPSI/SKRIPSI%20GECE/HP%20GU/Health%20Project/www.kidney.org/sites/default/files/js/js_iJZnPdmRA10lVpmJTguWW1J25LRVxskzX76I1akejmo.js	(from https://www.kidney.org/professionals/KDOQI/gfr_calculator)
